bangla,chakma
অবশেষে  । ডেভিড কখনো নড়েনি কিন্তু তাঁর চোখ সবসময় খোলা ছিলো চোখ বড়-বড় করে চিরকাল সামনে তাকিয়ে ছিলো যেখানে অন্ধকার চিড়ে আলোর রেখা চলে গিয়েছিলো।,"অবশেষে, ডেভিড কনদিন নলড়ে হিন্তু তাল্লোই রাগেনেই সবসময় খোলা এলো রাগেনেই বড়-বড় গরঙর চিরকাল মুজুঙে তাকিয়ে এলো যিয়ুত অন্ধকার চিড়ে আলোর রেখা জাগোই যিয়ে।"
আর তারপরের দিন।,আর তারপরের দিন।
আর তারপরের দিন।,আর তারপরের দিন।
এইভাবে  । ২০০০ বছর চলে গেলো।,"এইভাবে, ২০০০ বজর বিদি গেলো।"
এই মেশিন বরফ জমাট বাধার আগেই এখানে আটকা পড়েছিলো।,এই মেশিন শিল জমাট বাধার মুই ইয়ুত আটকা পোচ্চোঙ।
এরা আদি অকৃত্রিম রোবট।,অলে আদি অকৃত্রিম রোবট।
এরা মানুষদের জানতো।,অলে মানুজ্জুন্নয় খবরপেদাক।
টেডি  । আমরা বাড়ি এসেছি।,"টেডি, আমি ঘরত এচ্ছেই।"
আম্মু?,মা?
আম্মু!,মা!
আমরা বাড়ি এসেছি!,আমি ঘরত এচ্ছেই।!
কোথায় তুমি?,হুদু তুমি?
ডেভিড!,ডেভিড!
ডেভিড!,ডেভিড!
তুমি আমাকেই খুঁজছিলে  ? তাই না  ? ডেভিড?,"তুই মরে থোগেয়োছ, সেনত্তে না, ডেভিড?"
সারা জীবন ধরে।,গদা জীবনান ধরি।
আর  ? এতটা সময় ধরে  ? তুমি একবারও আমায় আসতে বলেছো?,"আর, এতটা সময় ধরে, তুই একবারও আমায় ইদু কোয়োছ?"
- আমাকে ইচ্ছে করতে হত।,- মরে ইচ্ছে গুরিদো।
- কী সেই ইচ্ছে?,- হি সে ইচ্ছে?
প্লিজ আমায় আসল ছেলে বানিয়ে দাও যেন আম্মু আমায় ভালোবাসে আর তাঁর সাথে থাকতে দেয়।,হুজুলি আমায় ইচ্চি পোবু বানিয়ে দে যেন মা আমায় কোচপায় আর তাল্লোই লগে তা দেয়।
ডেভিড  । যা করা সম্ভব আমি তাঁর সবই করতে পারি কিন্তু তোমায় সত্যিকারের ছেলে বানাতে পারবো না।,"ডেভিড, যা গরানা পারা মুই তাল্লোই সবই গুরি পিয়ঙ হিন্তু তোমায় সত্যিকারের পোবু বানেবার নপারঙ।"
কোথায় আমি?,হুদু আমি?
দেখতে আমার বাড়ির মত হলেও এটা অন্য রকম।,দেগর মর ঘর দোক্কেন হলেও ইয়ান অন্য রগম।
হ্যাঁ  । অন্য রকম।,"হ্যাঁ, অন্য রগম।"
কিন্তু এটা তোমারই বাড়ি।,হিন্তু ইয়ান তরই ঘর।
আমরা তোমার মন পড়েছি আর সব এখানেই আছে।,"আমি তর পুরিজ ,হিনিত্তে আর বেক ইয়োত আছে।"
আমাদের জন্য যে স্মৃতি তুমি জমিয়ে রেখেছো তাঁর কোনকিছুই ছোট না।,আমা মুই যে স্মৃতি তুই জমিয়ে রেখেছো তাল্লোই কোনকিছুই চিগোন না।
আমরা আসলেই চাই তুমি সুখী হও।,আমি দুঃখিত চাং তুই সুখী হও।
আমাদের কাছে তুমি খুব গুরুত্বপূর্ণ  । ডেভিড।,"আমা ইদু তুই নয় গুরুত্বপূর্ণ, ডেভিড।"
সারা পৃথিবীতে তুমি অনন্য।,গদা পিত্তিমিত তুই অনন্য।
আম্মু কি জলদি বাড়ি ফিরে আসবে?,আম্মু হি গর ঘরত ফিরি আসবে?
মার্টিনের সাথে বাহিরে শপিং করতে গেছে?,মার্টিনের লগে আঘন শপিং গুরি গেছে?
ডেভিড  । সে কোনদিনই বাড়ি ফিরে আসবে না কারণ ২০০০ বছর পার হয়ে গেছে সে এখন আর জীবিত নেই।,"ডেভিড, তে কোনদিনই ঘরত ফিরি তুই না কারণ ২০০০ বজর পার ওই যিয়ি তে এক্কুনু আর জীবিত নেই।"
সাত রাজার ধন ডেভিড  । যখন তুমি নিঃসঙ্গ হবে আমরা তোমার অতীত কাল থেকে অন্য মানুষদের ফিরিয়ে আনতে পারবো।,"সাত রাজার ধন ডেভিড, যেক্কে তুই নিঃসঙ্গ অব আমি তর অতীত হিল্লি অত্তুন অন্য মানুজ্জুন্নয় নেজিউঙ আমি পারবো।"
যদি তুমি অন্য মানুষদের ফিরিয়ে নিয়ে আসতে পারো তাহলে কেন আম্মুকে ফিরিয়ে আনতে পারবে না?,যুনি তুই অন্য মানুজ্জুন্নয় নেজিউঙ নেযা ইদু পারজ সালেন হিত্তে আম্মুকে নেজিউঙ আমি পারিবে না?
কারণ আমরা শুধু তাদেরকেই ফিরিয়ে আনতে পারবো যাদের শরীর বরফ খুঁড়ে বের করেছি।,কারণ আমি বানা তাদেরকেই নেজিউঙ আমি নপারিম যাদের শরীর শিল খুঁড়ে নেগেলা করেছি।
আমাদের সেই ব্যক্তির শরীরের কোনো উপাদান প্রয়োজন যেমন হাড় কিংবা নখ।,আমা তে ব্যক্তির হিয়ে কিচ্ছু উপাদান লাগে সানসিদিলি হাড় কিংবা নখ।
ডেভিড।,ডেভিড।
হ্যাঁ  ? টেডি?,"হ্যাঁ, টেডি?"
মনে পড়ে তুমি মায়ের এক গোছা চুল কেটেছিলে?,মনে পুজ্জে তুই মায়ের এক গোছা চুল কেটেছিলে?
হেনরি কাটিয়েছিলো।,হেনরি কাটিয়েছিলো।
তাঁর চুল ফেলে দিয়েছিলে।,তাল্লোই চুল ফেলে দিয়েছিলে।
জানি।,জানি।
এখন  ? তুমি তাকে ফিরিয়ে আনতে পারবে পারবে না?,"এখন, তুই তারে নেজিউঙ আমি পারিবে পারিবে না?"
সে যা চায় তা দিয়ে দাও।,তে যা চায় তা দিনেই দাও।
সোনামণি ডেভিড  । তোমার ইচ্ছা আমার আদেশ।,",মুই ডেভিড, তর মুই মর আদেশ।"
এই  ? জো  ? তুমি কী জানো?,"এই, জো, তুই হি জানো?"
ডেভিড  । মানুষের আত্মা নামের জিনিসটির প্রতি প্রায়ই কিছুটা ঈর্ষা করি।,"ডেভিড, মানজর আত্মা নাম জিনিসটির প্রতি প্রায়ই কিছুটা ঈর্ষা করি।"
মানুষ তাঁর জীবনের লক্ষ-লক্ষ ব্যাখ্যা সৃষ্টি করেছে শিল্পকলায়  । কবিতায়  । গাণিতিক সূত্রে।,"মানুজ তাল্লোই জিংহানির লক্ষ-লক্ষ ব্যাখ্যা সৃষ্টি পিজোর শিল্পকলায়, কবিতায়, গাণিতিক সূত্রে।"
নিশ্চিতভাবে মানুষই অস্তিত্বের মূল চাবি কাঠি।,নিশ্চিতভাবে মানুষই অস্তিত্বের মূল চাবি কাঠি।
কিন্তু মানুষের আর কোনো অস্তিত্ব নেই।,হিন্তু মানজর আর কিচ্ছু অস্তিত্ব নেই।
তাই আমরা একটি প্রকল্প শুরু করেছি যার মাধ্যমে অনেকদিন আগে মারা যাওয়া ব্যক্তির শরীরকে পুনরায় সৃষ্টি করতে পারবো হাড়ের টুকরা কিংবা মমিভূত চামড়ায় প্রাপ্ত DNA'এর অংশ থেকে।,সেনত্তে আমি এক্কান প্রকল্প শুরু গুচ্চুং যিয়ানর মাধ্যমে বালোকদিন আগে মরঙর হি ব্যক্তির ১০০০ পুনরায় সৃষ্টি গুরি নপারিম হাড়ের টুকরা কিংবা মমিভূত চামড়ায় প্রাপ্ত DNA'এর অংশ থেকে।
আমরা বেশ অবাক হয়েছি  ? এও কি সম্ভব শরীর পুনরায় সৃষ্টি করে স্মৃতি পুনরুদ্ধার হয়?,"আমি ভজমান আমক হয়েছি, এও হি পারা শরীর পুনরায় সৃষ্টি গরঙর স্মৃতি পুনরুদ্ধার হয়?"
আর জানো আমরা কী পেয়েছি?,আর হবর আমি হি পেয়েছি?
আমরা স্থান কালের প্রতিটি ঘটনার খুঁটিনাটি প্রতিটি ঘটনার তথ্য উপাত্ত জমানো পেয়েছি যা অতীতে ঘটে গেছে।,আমি স্থান কালের প্রতিটি ঘটনার খুঁটিনাটি প্রতিটি ঘটনার হবর উপাত্ত জমানো পেয়্যে যা অতীতে ঘটে গেছে।
কিন্তু গবেষণা ব্যর্থ হয়েছিলো।,হিন্তু গবেষণা ব্যর্থ হয়েছিলো।
যাদের পুনরুজ্জীবিত করা হয়েছিলো নতুন জীবনে শুধু একটা মাত্র দিন কাটিয়েছে।,যাদের পুনরুজ্জীবিত গরানা হয়েছিলো হ্যাট জিবনত বানা এক্কান বলে দু কাটিয়েছে।
যখন পুনরুজ্জীবিতরা তাঁদের প্রথম নতুন দিনে ঘুমিয়ে পড়ে তাঁরা আবার মারা যায়।,যেক্কে পুনরুজ্জীবিতরা তাঁদের পত্তম হ্যাট দিনে এল পুজ্জে তাঁরা আরো মরঙর যায়।
যত তাড়াতাড়ি তাঁরা অজ্ঞান হয়ে যায়  । তাদের অস্তিত্ব অন্ধকারে বিলীন হয়ে যায়।,"আইসক্রিম যাদিমাদি তাঁরা অজ্ঞান ওই যায়, তারা অস্তিত্ব অন্ধকারে বিলীন ওই যায়।"
তাই বুঝলে ডেভিড  । সমীকরণ দেখিয়ে দিয়েছে একবার সেটা ব্যবহার হয়ে থাকলে তা আবার ব্যবহার করা যায় না।,"সেনত্তে বুঝিলে ডেভিড, সমীকরণ দেখিয়ে দি পাদল সিয়ান ব্যবহার ওই থেলে তা আরো ব্যবহার গরানা যায় না।"
আমরা যদি তোমার আম্মুকে এখন ফিরিয়ে আনি তাহলে একদিনের জন্য হবে আর তারপর তুমি তাঁকে আর কখনো দেখতে পারবে না।,আমি যুনি তর আম্মুকে এক্কুনু নেজিউঙ আনি সালেন একদিনের মুই অব আর সে তুই তাঁকে আর কনদিন দেগর পারিবে না।
হয়তো।,হয়তো।
সে অন্যদের চেয়ে আলাদা হবে।,তে তুই অত্তুন আলাদা হবে।
সে হয়তো থেকে যাবে।,তে হয়তো অত্তুন যাবে।
আমি ভেবেছিলাম তোমায় বোঝাতে খুব কষ্ট হবে।,মুই ভাবপোংগে তোমায় বোঝাতে নয় কষ্ট হবে।
তোমাকে খুব ছোট করে তৈরি করা হয়েছিলো।,তরে নয় চিগোন গরঙর বানেয়ুন গরানা হয়েছিলো।
হয়তো সেই একটা দিন হেলিকপ্টারের ভিতরে থাকা ২০০০ বছরের সমান হবে।,হয়তো তে এক্কান দু হেলিকপ্টারের বিদিরি থাকা ২০০০ বছরের সমান হবে।
হয়তো চিরকাল টিকে যাবে।,হয়তো চিরকাল টিকে যাবে।
ডেভিড  । তুমিই মানব জাতির একমাত্র টিকে থাকা স্মৃতি।,"ডেভিড, তুমিই মানব জাতির ইগ্গুয়ুরি টিকে থাকা স্মৃতি।"
তাঁদের প্রতিভাবানদের দীর্ঘস্থায়ী প্রমাণ।,তাঁদের প্রতিভাবানদের দীর্ঘস্থায়ী প্রমাণ।
আমরা শুধু তোমার সুখ-শান্তি চাই।,আমি বানা তর সুখ-শান্তি চাই।
ডেভিড এসবে তুমি ছিলে খুব ছোট।,ডেভিড এসবে তুই এলে নয় ছোট।
তুমি যদি আমার সুখ-শান্তি চাও তাহলে তুমিই জানো তোমায় কী করতে হবে।,তুই যুনি মর সুখ-শান্তি চাজ সালেন তুমিই হবর তোমায় হি গুরি হবে।
শোনো।,শোনো।
শুনতে পারছো?,শুনিবার পারছো?
নতুন সকাল হয়েছে।,হ্যাট সকাল হয়েছে।
যাও তার কাছে   । ডেভিড।,"যা তা ইদু , ডেভিড।"
তাঁর ঘুম এই ভাঙলো বলে।,তাল্লোই ঘুম এই ভাঙলো বলে।
তোমায় পেয়েছি আমি।,তোমায় পেয়্যে আমি।
অনেকক্ষণ ঘুমিয়েছি বোধ হয়।,অনেকক্ষণ ঘুমিয়েছি বোধ হয়।
- কতদিন ?,- কতদিন ?
- কফি পান করবে?,- কফি পান করবে?
যেমনটা তুমি পছন্দ করো?,যেদিক্কেন তুই গম করো?
হ্যাঁ  । কফি আমার ভালো লাগে।,"হ্যাঁ, কফি মর গম লাগে।"
আমাকে চাঙ্গা করবে।,মরে চাঙ্গা করবে।
কফি বানানো কখনো ভুলোনি  ? তাই না?,"কফি বিচ্ছোন কনদিন ভুলোনি, সেনত্তে না?"
না।,না।
আমি কখনো ভুলি না।,মুই কনদিন ভুলি না।
আমি সামান্য বিভ্রান্ত।,মুই হিজু বিভ্রান্ত।
আজ কী বার?,এচ্যে হি বার?
আজ হলো আজ।,এচ্যে হলো আজ।
দিন শেষে যখন মনিকা ক্লান্ত হলো  । ডেভিড ভাবলো এটাই তার সবচেয়ে খুশির দিন।,"দু শেষে যেক্কে মনিকা তে হলো, ডেভিড ভাবলো ইয়ানই তা বেগত্তুন হুজি দিন।"
মায়ের মনের সব দুশ্চিন্তা হারিয়ে গিয়েছিলো।,মায়ের পরানো বেক দুশ্চিন্তা তুই গিয়েছিলো।
না ছিলো কোন হেনরি  । না ছিলো কোন মার্টিন। না ছিলো কোন বিষাদ।,"না ছিলো হন হেনরি, না ছিলো হন মার্টিন। না ছিলো হন বিষাদ।"
শুধু ছিলো ডেভিড।,বানা ছিলো ডেভিড।
ডেভিডকে সতর্ক করে দেয়া হয়েছিলো মনিকাকে কোন কিছু যেন ব্যাখ্যা না করে।,ডেভিডকে সতর্ক গরঙর দেয়া হয়েছিলো মনিকাকে হন হিজু যেন ব্যাখ্যা না করে।
নতুবা মনিকা ভয় পাবে  । আর সবকিছু ভেস্তে যাবে।,"নতুবা মনিকা দরাস্সি পাবে, আর বেক্কানি ভেস্তে যাবে।"
কিন্তু ডেভিডের বাড়ি যাত্রা ছিলো শুধু মাত্র তাঁর জন্য।,হিন্তু ডেভিডের ঘরত ইন্দি ছিলো বানা বলে তাল্লোই জন্য।
তাই সে পেইন্টিঙগুলো দিয়ে ক্ষতি করতে চায়নি যে স্মৃতি মনিকার ছিলো না।,সেনত্তে তে পেইন্টিঙগুলো দিনেই ক্ষতি গুরি চায়নি যে স্মৃতি মনিকার ছিলো না।
ডেভিডের কোনো জন্মদিন পার্টি ছিলো না কারণ ডেভিড কখনো জন্মায়নি।,ডেভিডের কিচ্ছু জন্মদিন পার্টি ছিলো না কারণ ডেভিড কনদিন জন্মায়নি।
তাই তাঁরা কেক বানায় আর মোমবাতিতে আলো জ্বালায়।,সেনত্তে তাঁরা হি বানায় আর মোমবাতিতে আলো জ্বালায়।
- এখন উইশ করো।,- এক্কুনু উইশ করো।
- উইশ তো পূরণই হয়েছে।,- উইশ মুই পূরণই হয়েছে।
এখন থেকে  । আসলে  । জানালাগুলো অস্পষ্ট হতে শুরু করে।,"এক্কুনু থেকে, আসলে, জানালাগুলো অস্পষ্ট অবার শুরু করে।"
তাই কাউকে কিছু না বলেই ডেভিড আলোছায়া আঁকতে থাকে।,সেনত্তে কারোরে হিজু না বলেই ডেভিড আলোছায়া পারিবোঙোয় থাকে।
তোমাকে আমার ঘুম পাড়িয়ে দেবার কথা।,তরে মর ঘুম পাড়িয়ে পর কথা।
কী অদ্ভুত।,হি অদ্ভুত।
কত মনোমুগ্ধকর।,হত্তমান মনোমুগ্ধকর।
চোখ একদম খোলা রাখতেই পারছি না।,রাগেনেই এক্কেরে খোলা রাখতেই পাজ্জোং না।
জানি না আমার কী হবে।,হবর না মর হি হবে।
আসলেই সুন্দর দিন।,দুঃখিত দোল দিন।
ভালোবাসি তোমায়  । ডেভিড।,"ভালোবাসি তোমায়, ডেভিড।"
খুব ভালোবাসি।,নয় ভালোবাসি।
আমি তোমায় চিরকাল ভালবাসবো।,মুই তোমায় চিরকাল ভালবাসবো।
এই মুহূর্তের অপেক্ষা সে চিরকাল করে এসেছে।,এই মুহূর্তের বাচ্চে তে চিরকাল গরঙর এসেছে।
আর সেই মুহূর্ত শেষ হলো  । যখন মনিকা ঘুমের রাজ্যে তলিয়ে গেলো।,"আর তে মুহূর্ত সেজ হলো, যেক্কে মনিকা ঘুমের রাজ্যে অর গেলো।"
ঘুমের থেকেও বেশি কিছু ছিলো।,ঘুমের গম বেজ হিজু ছিলো।
ডেভিডের তাকে ঝাঁকানো উচিত  । মনিকা কোনদিন জাগবে না।,"ডেভিডের তারে ঝাঁকানো উচিত, মনিকা কোনদিন জাগবে না।"
তাই ডেভিডও ঘুমিয়ে গেলো।,সেনত্তে ডেভিডও এল গেলো।
আর জীবনে প্রথম বারের জন্য সে এমন জায়গায় চলে গেলো যেখানে স্বপ্ন জন্ম নেয়।,আর জিবনত পত্তম বারের মুই তে এমন জাগাত জাগোই গেলো যিয়ুত সবনান জন্ম নেয়।
র‍্যাচেল  । আমাকে দেখাও।,"র‍্যাচেল, মরে দেখাও।"
- আমাকে দেখাবে?,- মরে দেখাবে?
- যে যেটা পায় সেটা তার হয়।,- যে মুই পায় সিয়ান তা হয়।
এটা আমি পেয়েছি।,ইয়ান মুই পেয়েছি।
কিন্ত জায়গা তো আমার।,হালিক যেবার মুই আমার।
যে পেয়েছে তার।,যে পেয়েছে তার।
ব্রুস?,ব্রুস?
ব্রুস?,ব্রুস?
আম্মু!,আম্মু!
Mr অ্যালফ্রেড!,Mr অ্যালফ্রেড!
তুমি কোন স্বপ্ন দেখেছ?,তুই হন সবনান দেখেছ?
ভয়ংকর স্বপ্ন।,দরগরে স্বপ্ন।
এই জায়গাটা থেকেও ভয়ংকর?,এই জায়গাটা গম ভয়ংকর?
তারা তোমার সাথে লড়াই করবে।,তারা তর লগে লড়াই করবে।
- আবার?,- আবার?
- মারার আগ পর্যন্ত থামবেনা।,- মারিবার আগ সং থামবেনা।
এই নাস্তা খাওয়ার চেয়ে মরে যাওয়াই ভাল।,এই নাস্তা খাওয়ার অত্তুন মরি যাওয়াই ভাল।
তুই জাহান্নামে আছিস  । ছোট ভাই।,"তুই নরগত আছিস, চিগোন ভাই।"
আর আমি হলাম শয়তান।,আর মুই হলাম শয়তান।
তুমি শয়তান নও।,তুই শয়তান নও।
তুমি তার সাগরেদ।,তুই তা সাগরেদ।
তাকে একা রাখো।,তারে গাই রাখো।
- কেন?,- কেন?
- রক্ষা করার জন্য।,- রক্ষা কবার জন্য।
- আমি নিজেকে রক্ষা করতে পারি।,- মুই নিজরে রক্ষা গুরি পারি।
- কিন্ত তাদের রক্ষা করবে কে?,- হালিক তারা রক্ষা পার কে?
যাও।,যাও।
অপরাধীদের সাথে এত লড়াইয়ের ইচ্ছা থাকলে নিজেকে একা রাখলে কেন  ? এক এক করে মারার জন্য?,"অপরাধীদের লগে এম্বা লড়াইয়ের মুই থেলে নিজরে গাই রাখলে কেন, এক এক গরঙর মারিবার জন্য?"
একা ছিলনা  । 7 জন ছিল।,"গাই ছিলনা, 7 ৭০ ছিল।"
আমি তো 6 গুণেছিলাম  । Mr ওয়েন।,"মুই মুই 6 গুণেছিলাম, Mr ওয়েন।"
আমার নাম কীভাবে জানো?,মর নামান হিঙিরি জানো?
ব্রুস ওয়েনের মত লোকদের লুকানোর জন্য এই পৃথিবী অনেক ছোট চাই তারা কতকিছুই করুক না কেন।,ব্রুস ওয়েনের দোক্কেন মানুজ্জুন লুকানোর মুই এই পিত্তিমি বজমান চিগোন চাং তারা কতকিছুই করুক না কেন।
কে তুমি?,হন্না তুমি?
আমার নাম ডুকার্ড  । কিন্ত আমি রা'স আল গুলের প্রতিনিধি অপরাধ জগত যার নাম শুনলে শিহরে উঠে।,"মর নামান ডুকার্ড, হালিক মুই রা'স আল গুলের প্রতিনিধি অপরাধ জগত যিয়ানর নামান মু শিহরে উঠে।"
যেই ব্যাক্তি তোমাকে এক লক্ষ্য দিতে পারে।,যে ব্যাক্তি তরে এক লক্ষ্য দি পারে।
তোমাকে কে বলল আমার লক্ষ্য লাগবে?,তরে হন্না যিয়ান মর লক্ষ্য লাগবে?
তোমার মত লোকেরা এখানে স্বেচ্ছায় আসে।,তর দোক্কেন লোকেরা ইয়ুত স্বেচ্ছায় আসে।
তুমি অপরাধ জগত তল্লাশি করেছ কিন্ত তোমার লক্ষ্য যাই হোক না কেন আসলে তুমি হারিয়ে গিয়েছ।,তুই অপরাধ জগত তল্লাশি গুজ্জোজ হালিক তর লক্ষ্য দাবা দোল না হিত্তে এই তুই তুই গিয়েছ।
রা'স আল গুল আমাকে কী লক্ষ্য দিতে পারবে?,রা'স আল গুল মরে হি লক্ষ্য দি পারবে?
ঐ লক্ষ্য যেটাতে মানুষ মন্দের রফা দফা করে আর সত্যকে ইনসাফ দেয়।,ঐ লক্ষ্য যেটাতে মানুজ মন্দের রফা দফা গরঙর আর সত্যকে ইনসাফ দেয়।
লিগ অফ শ্যাডো'র লক্ষ্য।,লিগ অফ শ্যাডো'র লক্ষ্য।
- তুমি ইনসাফের দালাল।,- তুই ইনসাফের দালাল।
- না  । না  । না।,"- না, না, না।"
ইনসাফের দালাল তো নিজের বিবেক বুদ্ধি দিয়ে সঠিক ভুল নির্ণয় করতে পারে।,ইনসাফের দালাল মুই নিজর বিবেক বুদ্ধি দিনেই ঠিক ভুল নির্ণয় গুরি পারঙ।
তাকে শাস্তি দিতে পারে  । কয়েদী করে রাখতে পারে।,"তারে শাস্তি দি পারে, কয়েদী গরি রাগেইও পারে।"
কিন্ত যদি তুমি নিজেকে সাধারণ মানুষের থেকে আলাদা করে এক লক্ষ্যের জন্য উৎসর্গ করো আর যদি তোমাকে বাঁধা না দেওয়া যায়।,হালিক যুনি তুই নিজরে সাধারণ মানজর অত্তুন আলাদা গরছ এক লক্ষ্যের মুই উৎসর্গ গর আর যুনি তরে বাঁধা দে ন যায়।
যার মানে?,যিয়ানর মানে?
এক সুপারহিরো  । Mr ওয়েন।,"এক সুপারহিরো, Mr ওয়েন।"
আগামীকাল তুমি মুক্তি পাবে।,এজেত্তে কিল্যে তুই মুক্তি পাবে।
যদি সাধারণ বদমাশদের সাথে লড়াই ছেড়ে এক লক্ষ্য নিতে চাও তাহলে এক বিশেষ নীল ফুল আছে যেটা পূর্ব ঢালে উদ্গত হয়।,যুনি সাধারণ বদমাশদের লগে লড়াই ছাড়ি এক লক্ষ্য লয় চাজ সালেন এক বিশেষ নীল এল আগে মুই পূর্ব ঢালে উদ্গত অয়।
ওখান থেকে একটা ফুল তুলে নাও।,ওখান অত্তুন এক্কান ফুল দিম না।
যদি তুমি ঐ ফুল নিয়ে পাহাড়ের উপরে পৌছতে পারো তাহলে তুমি সেই জিনিস খুঁজে পাবে যেটা তুমি খুঁজছিলে।,যুনি তুই ঐ এল নেযা মুরো উগুরে পৌছতে পারজ সালেন তুই তে রই থোগেনেই হি মুই তুই থোগেয়োছ।
আমি কী খুঁজছিলাম?,মুই হি থোগেয়োঙ?
সেটা তো তুমিই জানবে।,সিয়ান মুই তুমিই জানিবে।
ফিরে যাও।,ফিরি যা।
আমার কথা মানো আর ফিরে যাও।,মর হদা মানো আর ফিরি যও।
রা'স আল গুল?,রা'স আল গুল?
দাড়াও।,দাড়'।
বলো তুমি কী চাও?,হ তুই হি চাস?
আমি অন্যায়ের বিরুদ্ধে লড়াইয়ের শক্তি চাই।,মুই অন্যায়ের বিরুদ্ধে লড়াইয়ের শক্তি চাঙ।
তাদের ভয় দেওয়ার শক্তি যারা ভীতদের শিকার করে।,তারা দরাস্সি দেওয়ার দিনেই যারা ভীতদের শিকার গরে।
অন্যদেরকে ভয় দেখানোর আগে তোমাকে নিজের ভয়কে পরাজিত করতে হবে।,অন্যদেরকে দরাস্সি দেগেবাত্তে আগে তরে নিজর ভয়কে পরাজিত গরা পরিবু।
শুরু করার জন্য প্রস্তত?,শুরু গরিবেত্তে মুই প্রস্তত?
আমি আমি তো দাঁড়াতে পারছিনা।,মুই মুই মুই মিনিট নপারঙর।
মৃত্যু তোমার জন্য অপেক্ষা করবেনা!,মৃত্যু তর মুই বাচ্চে নপারিম।!
মৃত্যু কখনো সময় বুঝে আসেনা!,মৃত্যু কনদিন সময় বুঝি নএজে।!
আর এটা ভালভাবে বুঝে নাও যে এখানে তোমার মোকাবেলা মৃত্যুর সাথে।,আর ইয়ান ভালভাবে বুঝি বে যে ইয়ুত তর মোকাবেলা জাগাত লগে।
টাইগার।,টাইগার।
জুজুৎসু।,জুজুৎসু।
সেখানে তোমার বয়সী মেয়েরা আছে  । যারা ঠিক আমার মত।,সিয়দ তর বয়সী মিলিগুন আগন যারা ঠিক মর মত।
নিঃসঙ্গ মানবজাতির আমরা নির্ভেজাল কামনা।,নিঃসঙ্গ মানবজাতির আমি নির্ভেজাল কামনা।
আমাদের অন্তঃসত্ত্বা করার কোনো ভয় নেই  । কিংবা আব্বু-আম্মুর সাথে পরিচয়ও করাতে হবে না।,"আমা অন্তঃসত্ত্বা কবার কিচ্ছু দরাস্সি নেই, কিংবা আব্বু-আম্মুর লগে পরিচয়ও করাতে অব না।"
আমরা তোমাদের অধীনে কাজ করি  । আর তোমাদের জন্য কাজ করি।,"আমি হাই অধীনে হাম করি, আর হাই মুই হাম করি।"
মানুষ যা করতে পারে তার থেকে  । আমাদের উৎকৃষ্ট বানিয়েছে।,"মানুজ যা গুরি পারে তা থেকে, আমা উৎকৃষ্ট বানিয়েছে।"
তুমি যদি আমাদের রুজ সিটিতে পৌঁছে দিতে পারো  । সব আরও  । আরও অনেক কিছু তোমাদের হতে পারে।,"তুই যুনি আমা রুজ সিটিতে পৌঁছে দি পারো, বেক আরও, আরো বজমান হিজু হাই অবার পারে।"
গাড়িতে উঠো।,গুরি উঠো।
"""আ"" বলো!","""আ"" বলো!"
ওখানে কিটি কিটি।,উবুত কিটি কিটি।
যখন নতুন বানানো হয়েছিলো সেখানেই কর্তৃপক্ষ আমার কোয়ালিটি পরীক্ষা করে।,যেক্কে হ্যাট বিচ্ছোন হয়েছিলো সিদুই কর্তৃপক্ষ মর কোয়ালিটি পরীক্কে করে।
খুব অহংকারী।,নয় অহংকারী।
সেখানে প্রদর্শনীর আমন্ত্রণ পাই নি এখনও।,সিয়দ প্রদর্শনীর আমন্ত্রণ পাই নি এখনও।
দিনের বেলা শুধু পুরুষদের আর সন্ধ্যার পর নারীরা।,ফাস্ট বেলা বানা মরত্তুনোরে আর সন্ধ্যার পর নারীরা।
শুধু সিয়েরা শ্রেণীর রোবটদের।,বানা সিয়েরা ক্লাজ রোবটদের।
কিভাবে যে বেঁচে আছে কোনো ধারণা নেই আমার। এমনকি ইংরেজিও বলতে পারে না।,হেনে যে বাজি আগে কিচ্ছু ধারণা নেই আমার। লেফটেন্যান্ট ইংরেজিও হোই পারে না।
সব সুইডেনে বানানো।,বেক সুইডেনে বানানো।
খোঁচা দিয়ে রসিকতাও করতে পারে না।,খোঁচা দিনেই রসিকতাও গুরি পারে না।
ওখানে মিলড্রেড।,উবুত মিলড্রেড।
তোমাকে মিলড্রেডের ভিতরটা দেখাতে হবে।,তরে মিলড্রেডের ভিতরটা দেগেবার হবে।
তুমি তাঁর?,তুই তাঁর?
এটা আমাদের সাদা মনের নারীর প্রতীক।,ইয়ান আমা সাদা পরানো নারীর প্রতীক।
যে আমাদের নির্মাণ করেছে সে সবসময় এদের নির্মাণকারীকে খুঁজে।,যে আমা নির্মাণ পিজোর তে সবসময় এতারারে নির্মাণকারীকে খুঁজে।
তাঁরা ভিতরে যায়  । হাত ভাঁজ করে  । পায়ের চারপাশে তাকায়  । গান গায় যখন তাঁরা বাহিরে বেড়িয়ে আসে  । সচরাচর আমায় খুঁজে পায়।,"তাঁরা বিদিরি যায়, আত্তান ভাঁজ করে, পায়ের চারপাশে তাকায়, গান গায় যেক্কে তাঁরা আঘন বেড়িয়ে আসে, সচরাচর আমায় থোগেনেই পায়।"
এই জায়গায় আমি অনেক পয়সাকড়ি আয় করেছি।,এই জাগাত মুই বজমান পয়সাকড়ি আয় করেছি।
